标识,函数类型,题图,模板标题,编程语言（页面展示）,运行时版本,入口函数名称,是否是编译型语言,ZipFile 地址,zipFile文件,描述,标签组,说明示例,镜像路径,服务端口,对外隐藏,排序,跳转链接,语言,陈列页面,Git仓库地址（默认github）,模板归类,服务环境变量,目标平台,模板ID,git仓库列表,使用指引
adp-js,"[""scfWeb"",""tcbrContainer""]",https://7163-qcloud-tcb-console-1258344699.tcb.qcloud.la/cloudbase-cms/upload/2025-07-11/430pv8zlerthmdt5z71el9p1ailwr4re_.ico,腾讯云智能体开发平台,Javascript,Nodejs20.19,,否,https://tcb.cloud.tencent.com/ai/agent/templates_tcbr_zip/adp-js-0.0.4.zip,,可以在云开发中调用腾讯云智能体开发平台的 Agent，它提供了知识库、工作流、多智能体等能力,"[""Agent 开发平台""]",可以在云开发中调用腾讯云智能体开发平台的 Agent，它提供了知识库、工作流、多智能体等能力,crunbuild-az-new.tencentcloudcr.com/cloudbase/adp-js:0.0.4,9000,否,4,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/adp-js,创建AI Agent服务,"[{""visible"":true,""placeholder"":""请输入腾讯云智能体开发平台的 AppKey"",""fileld"":""应用密钥"",""key"":""ADP_APP_KEY""}]","[""国内站""]",demo-m9d3d57z,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/adp-js""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/adp-js""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/adp-js""}}]",点击查看[获取App Key的文档](https://cloud.tencent.com/document/product/1759/105560#8590003a-0a6d-4a8d-9a02-b706221a679d) 
langgraph-py,"[""scfWeb"",""tcbrContainer""]",https://qcloudimg.tencent-cloud.cn/raw/3787775f4f90d30b25521414898a8d55.png,LangGraph（Python）,Python,Python3.10,,否,https://scf-template-1307578329.cos.ap-guangzhou.myqcloud.com/langgraph-python.zip,,支持与兼容 OpenAI 协议的大模型进行对话，您可以二次开发,"[""Agent 开发框架""]",支持与兼容 OpenAI 协议的大模型进行对话，您可以进行二次开发。,crunbuild-az-new.tencentcloudcr.com/cloudbase/cloudrun-agent-langgraph-python:v0.0.1,9000,否,3,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/langgraph-python,创建AI Agent服务,"[{""placeholder"":""您可以选择已有模型，也可以输入新的模型名称"",""fileld"":""模型名"",""key"":""OPENAI_MODEL""},{""placeholder"":""请选择或输入兼容 OpenAI 协议的 Base UR"",""fileld"":""模型地址"",""key"":""OPENAI_BASE_URL""},{""placeholder"":""请输入模型调用的凭证"",""fileld"":""API Key"",""key"":""OPENAI_API_KEY""}]","[""国内站""]",demo-ph2lp9r7,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/langgraph-python""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/langgraph-python""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""http://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/langgraph-python""}}]",
langgraph-js,"[""scfWeb"",""tcbrContainer""]",https://qcloudimg.tencent-cloud.cn/raw/3787775f4f90d30b25521414898a8d55.png,LangGraph（JavaScript）,Javascript,Nodejs20.19,,否,https://scf-template-1307578329.cos.ap-guangzhou.myqcloud.com/langgraph-js.zip,,使用 LangGraph StateGraph 构建工作流，支持 OpenAI 兼容的 LLM 接口，支持客户端工具调用，支持对话记忆（MemorySaver）,"[""Agent 开发框架""]",支持与兼容 OpenAI 协议的大模型进行对话，您可以进行二次开发,crunbuild-az-new.tencentcloudcr.com/cloudbase/cloudrun-agent-langgraph-ts:v0.0.1,9000,否,2,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/langgraph-js,创建AI Agent服务,"[{""visible"":true,""placeholder"":""您可以选择已有模型，也可以输入新的模型名称"",""fileld"":""模型名"",""key"":""OPENAI_MODEL""},{""visible"":true,""placeholder"":""请选择或输入兼容 OpenAI 协议的 Base URL"",""fileld"":""模型地址"",""key"":""OPENAI_BASE_URL""},{""visible"":true,""placeholder"":""请输入模型调用的凭证"",""fileld"":""API Key"",""key"":""OPENAI_API_KEY""}]","[""国内站""]",demo-bk3z3mof,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/langgraph-js""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/langgraph-js""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/langgraph-js""}}]",
wxpay-common,"[""tcbrContainer""]",cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/6e644c70a51e226eb2fc72e38937950c-wechat-pay.svg,微信支付通用模版,NodeJS,v22.22,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/550116924f3430e837d28679ee7ff9b9-pay-common.zip,微信支付通用模版,,"# 云托管微信支付通用模版

这是一个微信支付相关的云托管服务，包含统一下单，订单查询，退款等功能。

使用前，请确保已经配置相关环境变量或这在项目 ```config/config.js``` 中配置相关信息

### 配置文件说明

* jsapiNotifyUrl: 该参数可在云托管服务部署完成之后获取公网域名地址填写。
* refundNotifyUrl: 该参数可在云托管服务部署完成之后获取公网域名地址填写。

```
module.exports = {
    payConfig: {
        // 下单回调通知 URL
        jsapiNotifyUrl: '',
        // 退款回调通知 URL
        refundNotifyUrl: '',
        // 商户 ID
        mchId: '',
        // 小程序 ID
        appId: '',
        // 商户序列号
        mchSerialNo: '',
        // 商户 API 密钥
        mchAPIv3Key: '',
        // 商户平台证书私钥
        mchPrivateKey: '',
        // 商户平台证书公钥
        mchPublicKey: '',
    }
};
```

### 环境变量

环境变量优先级大于配置文件，即若有环境变量，配置文件将会被覆盖。

* WX_APP_ID: 小程序 ID
* WX_MCH_ID: 商户 ID
* WX_SERIAL_NO: 商户序列号
* WX_KEY: 商户 API 密钥
* WX_PRIVATE_KEY: 商户平台证书私钥
* WX_PUBLIC_KEY: 商户平台证书公钥

### 默认路由
* 微信小程序-下单: /cloudrun/v1/pay/wxpay_order
* 微信小程序-通过商户订单号查询订单: /cloudrun/v1/pay/wxpay_query_order_by_out_trade_no
* 微信小程序-通过微信订单号查询订单: /cloudrun/v1/pay/wxpay_query_order_by_transaction_id
* 微信小程序-退款: /cloudrun/v1/pay/wxpay_refund
* 微信小程序-查询退款: /cloudrun/v1/pay/wxpay_query_refund
* 微信小程序-支付成功回调: /cloudrun/v1/pay/unifiedOrderTrigger
* 微信小程序-退款成功回调: /cloudrun/v1/pay/refundTrigger

### 自定义支付逻辑处理

在 ```services/orderService.js``` 中处理自定义逻辑

```
class OrderService {
    constructor() {}

    /**
     * 创建订单
     * @param {Object} params - 订单参数对象
     * @param {string} params.out_trade_no - 商户订单号
     * @param {description} params.description - 商品描述
     * @param {Object} params.amount - 订单金额
     * @param {integer} params.amount.total - 总金额
     * @param {string} params.amount.currency - 货币类型
     * @param {Object} params.payer - 支付者信息
     * @param {string} params.openid - 用户标识
     * @returns {boolean} 返回是否更新成功，true表示成功
     */
    async handlerUnified(params) {
        console.info('handlerUnified success.');
        return true;
    }

    /**
     * 更新订单
     * @param {Object} params - 要更新的订单参数对象
     * @param {string} params.out_trade_no - 商户订单号
     * @param {string} params.transaction_id - 微信支付订单号
     * @param {string} params.trade_type - 交易类型
     * @param {string} params.trade_state - 交易状态
     * @param {Object} params.payer - 支付者信息
     * @param {string} params.payer.openid - 用户标识
     * @returns {boolean} 返回是否更新成功，true表示成功
     */
    async handlerUnifiedTrigger(params) {
        console.info('handlerUnifiedTrigger success.');
        return true;
    }

    /**
     * 订单退款
     * @param {Object} params - 退款请求参数对象
     * @param {string} params.refund_id - 微信支付退款单号
     * @param {string} params.out_refund_no - 商户退款单号
     * @param {string} params.transaction_id - 微信支付订单号
     * @param {string} params.out_trade_no - 商户订单号
     * @param {string} params.channel - 退款渠道
     * @param {string} params.user_received_account - 退款入账账户
     * @param {string} params.status - 退款状态
     * @param {Object} params.amount - 金额信息
     * @param {integer} params.amount.total - 订单金额
     * @param {integet} params.amount.refund - 退款金额
     * @returns {boolean} 返回是否更新成功，true表示成功
     */
    async handlerRefund(params) {
        console.info('handlerRefund success.');
        return true;
    }

    /**
     * 查询订单详情（退款触发相关）
     * @param {Object} params - 查询参数对象
     * @param {Object} params - 退款请求参数对象
     * @param {string} params.refund_id - 微信支付退款单号
     * @param {string} params.out_refund_no - 商户退款单号
     * @param {string} params.transaction_id - 微信支付订单号
     * @param {string} params.out_trade_no - 商户订单号
     * @param {string} params.refund_status - 退款状态
     * @param {Object} params.amount - 金额信息
     * @param {integer} params.amount.total - 订单金额
     * @param {integet} params.amount.refund - 退款金额
     * @param {integer} params.amount.payer_total - 用户实际支付金额
     * @param {integer} params.amount.payer_refund - 用户退款金额
     * @returns {boolean} 返回是否更新成功，true表示成功
     */
    async handlerRefundTrigger(params) {
        console.info('handlerRefundTrigger success.');
        return true;
    }
}
```
### 微信小程序调用示例

这里的云托管服务名称，我们以 ```pay-common``` 为例

1、统一下单 

```
const res = await wx.cloud.callContainer({
      path: '/cloud-run/custom/v1/pay/unifiedOrder',
      method: 'POST',
      header: {
        'X-WX-SERVICE': 'pay-common',
      },
      data: {
        'goods_id': 'xxxxxx',
      },
    });
console.log(res);
```",crunbuild-az-new.tencentcloudcr.com/cloudbase/pay-common:v0.1,3000,否,100,"	/platform-run/service/create?type=package&zipUrl=https://clooudbaserun-az-1258016615.cos.ap-shanghai.myqcloud.com/languages-frameworks/pay-common.zip&serverName=wxpaycommon&port=3000",中文,,,,"[{""value"":""<小程序ID>"",""key"":""WX_APP_ID""},{""value"":""<商户ID>"",""key"":""WX_MCH_ID""},{""value"":""<商户序列号>"",""key"":""WX_SERIAL_NO""},{""value"":""<商户API密钥>"",""key"":""WX_KEY""},{""value"":""<商户平台证书私钥>"",""key"":""WX_PRIVATE_KEY""},{""value"":""<商户平台证书公钥>"",""key"":""WX_PUBLIC_KEY""}]","[""国内站""]",,,
google-adk-py,"[""scfWeb"",""tcbrContainer""]",https://qcloudimg.tencent-cloud.cn/raw/a968489a84e6c523f8e6b353aca10015.png,Google Agent Development Kit,Python,Python3.10,,否,https://tcb.cloud.tencent.com/cloud-run-function-template/adk-python.zip,,支持与兼容 OpenAI 协议的大模型进行对话，您可以二次开发,"[""Agent 开发框架""]",支持与兼容 OpenAI 协议的大模型进行对话，您可以进行二次开发。,crunbuild-az-new.tencentcloudcr.com/cloudbase/cloudrun-agent-adk-python:latest,9000,否,5,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/adk-python,创建AI Agent服务,"[{""placeholder"":""您可以选择已有模型，也可以输入新的模型名称"",""fileld"":""模型名"",""value"":"""",""key"":""OPENAI_MODEL""},{""placeholder"":""请选择或输入兼容 OpenAI 协议的 Base URL"",""fileld"":""模型地址"",""key"":""OPENAI_BASE_URL""},{""placeholder"":""请输入模型调用的凭证"",""fileld"":""API Key"",""key"":""OPENAI_API_KEY""}]","[""国内站""]",demo-8fvhotl1,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/adk-python""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/adk-python""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/adk-python""}}]",
python-mysql,"[""tcbrContainer""]",cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/a7436f833f386531f046891bb668fc31-MySQL.svg,Python 内网直连 MySQL,Python,Python 3.8+,main,否,https://clooudbaserun-az-1258016615.cos.ap-shanghai.myqcloud.com/python-mysql.zip,,"云托管服务通过内网访问 MySQL 示例. 示例使用 Python (Flask) + SQLAlchemy 实现, 包含一套数据库 CRUD API 和一个调用 API 的前端页面.","[""python"",""flask"",""mysql""]","# Python + MySQL 云托管服务

## 快速开始

### 配置 MySQL 连接参数

1. 初始化 MySQL 参考[文档](https://docs.cloudbase.net/database/configuration/db/tdsql/initialization)
2. 前往云开发控制台, 选择 `数据库 - MySQL`, 在右上角点击 `连接数据库`, 在 `连接字符串` 标签页可以获得数据库实例可以获得连接参数 `host`, `port`, `database` 参数.
3. [可选] 如果不希望使用管理员账号, 在弹窗中点击 `忘记密码` 按钮, 可以创建一套新的用户名密码.

### 部署服务

前往 [腾讯云云开发控制台](https://tcb.cloud.tencent.com/dev), 选择 `云托管`, 在 `创建服务` 区块选择 `通过模板部署`, 选择模版, 进入模板代码预览页面.
在代码预览区, 找到 `.env` 文件, 点击右上角 `编辑` 按钮, 修改 MySQL 链接相关参数, 并点击 `保存` 按钮.

```
MYSQL_ADDRESS=<mysql-instance-host-and-port>
MYSQL_USERNAME=<mysql-username>
MYSQL_PASSWORD=<mysql-password>
MYSQL_DATABASE=<mysql-database>
```

之后点击 `部署` 按钮, 等待部署完成. 部署完成后, 在云托管的 `服务列表` 页面, 点击 `服务名称` 进入服务详情页, 通过服务域名即可访问服务.

## 本地调试

### 环境要求

- Python 3.8+
- MySQL 5.7+ 或 MySQL 8.0+

### 1. 克隆项目并安装依赖

```bash
# 克隆项目
git clone https://github.com/TencentCloudBase/awesome-cloudbase-examples.git
cd cloudbaserun/python-mysql

# [可选] 使用国内镜像源以提高下载速度
pip config set global.index-url https://mirrors.cloud.tencent.com/pypi/simple

# 使用 pip 安装依赖
pip install -r requirements.txt

# 或者使用虚拟环境 (推荐)
python3 -m venv venv
source venv/bin/activate
pip install -r requirements.txt
```

### 2. 配置 MySQL 数据库

编辑 .env 文件，修改为你的本地 MySQL 配置

```bash
MYSQL_USERNAME=your_username
MYSQL_PASSWORD=your_password
MYSQL_ADDRESS=localhost:port
MYSQL_DATABASE=your_database
# 可以用 PORT 环境变量指定其他端口
PORT=8080
```

### 3. 启动本地开发服务器

确保本地 MySQL 服务已启动

```bash
# 直接运行 Flask 应用
python app.py
```

应用将在 `http://localhost:8080` 启动。

### 4. 测试应用功能

- 访问 `http://localhost:8080` 查看前端页面
- 使用页面上的按钮测试计数器功能：
  - 点击 ""增加"" 按钮增加计数
  - 点击 ""清空"" 按钮重置计数
- 或者直接调用 API 接口：

  ```bash
  # 获取当前计数
  curl http://localhost:8080/api/count

  # 增加计数
  curl -X POST http://localhost:8080/api/count \
    -H ""Content-Type: application/json"" \
    -d '{""action"": ""inc""}'

  # 清空计数
  curl -X POST http://localhost:8080/api/count \
    -H ""Content-Type: application/json"" \
    -d '{""action"": ""clear""}'
  ```

### 常见问题排查

- **数据库连接失败**：检查 `.env` 文件中的数据库配置和 MySQL 服务状态
- **端口被占用**：修改 `app.py` 中的端口号或使用 `PORT` 环境变量
- **依赖安装失败**：确保 Python 版本兼容，或使用虚拟环境
- **权限问题**：确保 MySQL 用户有对应数据库的读写权限

### 使用 Docker 进行本地调试（可选）

```bash
# 构建镜像
docker build -t python-mysql-demo .

# 运行容器（需要先启动 MySQL 容器）
docker run --rm -p 8080:8080 python-mysql-demo
```

## Dockerfile 最佳实践

请参考 [优化容器镜像](https://docs.cloudbase.net/run/develop/image-optimization)
",crunbuild-az-new.tencentcloudcr.com/cloudbase/python-mysql:v0.0.1,8080,否,5,"	/platform-run/service/create?type=package&zipUrl=https://clooudbaserun-az-1258016615.cos.ap-shanghai.myqcloud.com/python-mysql.zip&serverName=pythonmysql&port=8080",中文,,,,"[{""value"":""<mysql-instance-host-and-port>"",""key"":""MYSQL_ADDRESS""},{""value"":""<mysql-username>"",""key"":""MYSQL_USERNAME""},{""value"":""<mysql-password>"",""key"":""MYSQL_PASSWORD""},{""value"":""<mysql-database>"",""key"":""MYSQL_DATABASE""}]","[""国内站""]",,,
react-web-template,"[""tcbStatichost""]",https://qcloudimg.tencent-cloud.cn/raw/78f13657d6172914ad3be3fe431220ab.svg,React Web 应用模板,javascript,Nodejs18.15,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/5cb6864bb998d00e02af98894fa96b28-raact-template.zip,基于 React、Vite 和腾讯云开发（CloudBase）的现代化 Web 应用模板,"[""react"",""web""]",,,,,1,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/web/cloudbase-react-template,,,"[""国内站"",""国际站""]",,,
nuxt-web-template,"[""tcbStatichost""]",cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/9a8a3606aed7695f0eed3ea0482876ef-nuxt.svg,Nuxt Web Application Template,javascript,Nodejs20.0,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/e3d34cf2c638e9bcbb39b3b19e1f865c-web-cloudbase-nuxt-template1.zip,"The SSG static site Template based on Nuxt 3, Vue 3 and Tencent CloudBase provides developers with the ability to quickly build full-stack applications.","[""nuxt"",""web""]",,,,否,4,,英文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/web/web-cloudbase-nuxt-template,,,"[""国内站"",""国际站""]",,,
websocket,"[""scfWeb""]",,Websocket 模版(Nodejs),Nodejs18.15,Nodejs18.15,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/2b3626f9e9dd838b572a873f3a0ecab7-scf-websockets.zip,Nodejs 语言 Websocket 模板,"[""HTTPFunc""]","这是 HTTP 云函数 Nodejs 语言的 Websocket 模板.

源码详情请参考:

[github](https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/websockets)",,,,10,,中文,,,,,"[""国内站""]",,,
ai-test,"[""scfWeb"",""tcbrContainer""]",https://qcloudimg.tencent-cloud.cn/raw/5f02790737e0ff71ab148cfd965d88b2.svg,测试模板,Javascript,Nodejs20.19,,否,https://tcb.cloud.tencent.com/cloud-run-function-template/adp-js.zip,,这是测试模板,"[""Agent 开发平台""]",,crunbuild-az-new.tencentcloudcr.com/cloudbase/cloudrun-agent-adp-js:latest,,是,100,,中文,,,,,"[""国内站""]",,,
scf-java-helloworld,"[""scfFunc""]",,Java 空白模板,Java,Java11,example.Hello::simpleHandler,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/1b6e7ad61888bf2a392a10748f1daa05-scf-java-helloworld-1.0.0.jar,Java 语言 空白 helloworld 模板,"[""Java""]","这是云函数 Java 语言的 空白 helloworld 模板，模板内仅包含入口文件。

源码地址详情参考:

[github](https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/cloudfunctions/scf-java-helloworld)",,,,2,,中文,,,,,"[""国内站""]",,,
dify-py,"[""scfWeb"",""tcbrContainer""]",https://qcloudimg.tencent-cloud.cn/raw/42daad18f5376a08367c027c4b59d50a.png,Dify,Python,Python3.10,,否,https://tcb.cloud.tencent.com/cloud-run-function-template/dify-agent.zip,,可以对接 Dify 官网和开源部署版本。支持对话API、支持流式响应和阻塞响应、支持 Agent 模式工具调用、支持JWT 认证集成,"[""Agent 开发平台""]",支持 Dify 对话API、支持流式响应和阻塞响应、支持 Agent 模式工具调用、支持JWT 认证集成,crunbuild-az-new.tencentcloudcr.com/cloudbase/cloudrun-dify-python-agent:latest,9000,否,100,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/dify-python,创建AI Agent服务,"[{""visible"":true,""placeholder"":""请输入 Dify 平台的 API Key "",""key"":""DIFY_API_KEY""},{""visible"":true,""placeholder"":""请输入 Dify 平台的基础 URL"",""value"":""https://api.dify.ai/v1"",""key"":""DIFY_API_BASE""}]","[""国内站""]",demo-9kbl6coz,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/dify-python""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/dify-python""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/dify-python""}}]",查看[获取 API Key 文档](https://docs.dify.ai/zh/use-dify/publish/developing-with-apis)，如需部署开源版本，[点击前往](https://tcb.cloud.tencent.com/dev#/lighthouse/create?blueprintType=APP_OS&blueprintId=lhbp-hvd5b064)
scf-php-helloworld,"[""scfFunc""]",,Php空白模板,Php,Php8.0,index.main_handler,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/9963d168533a9a6307eb12f981a4d64c-scf-php-helloworld.zip,Php 语言 空白 helloworld 模板,"[""PHP""]","这是云函数 Php 语言的 空白 helloworld 模板，模板内仅包含入口文件。

源码地址请参考:

[github](https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/cloudfunctions/scf-php-helloworld)",,,,2,,中文,,,,,"[""国内站""]",,,
langchain-js,"[""scfWeb"",""tcbrContainer""]",https://qcloudimg.tencent-cloud.cn/raw/e59d21e150b8a6458a1ee799e15af645.svg,LangChain,Javascript,Nodejs20.19,,否,https://scf-template-1307578329.cos.ap-guangzhou.myqcloud.com/langchain-js.zip,,使用 OpenAI 协议兼容的 LLM 接口，支持对话记忆（MemorySaver），JWT 认证集成、SSE 流式传输等特性,"[""Agent 开发框架""]",支持与兼容 OpenAI 协议的大模型进行对话，您可以进行二次开发,crunbuild-az-new.tencentcloudcr.com/cloudbase/cloudrun-agent-langchain-ts:v0.0.1,9000,否,3,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/langchain-js,创建AI Agent服务,"[{""visible"":true,""placeholder"":""您可以选择已有模型，也可以输入新的模型名称"",""fileld"":""模型名"",""key"":""OPENAI_MODEL""},{""visible"":true,""placeholder"":""请选择或输入兼容 OpenAI 协议的 Base URL"",""fileld"":""模型地址"",""key"":""OPENAI_BASE_URL""},{""visible"":true,""placeholder"":""请输入模型调用的凭证"",""fileld"":""API Key"",""key"":""OPENAI_API_KEY""}]","[""国内站""]",demo-0oogh4gz,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/langchain-js""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/langchain-js""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/langchain-js""}}]",
